date,year,month,quarter,season,region,country,temperature,rainfall,humidity,co2,sea_level
1961-01-01,1961,1,1,Winter,Australia-Pacific,Australia,24.8,61.15,58.41,316.32,13.87
1961-02-01,1961,2,1,Winter,Australia-Pacific,Australia,25.57,68.16,59.49,316.34,22.64
1961-03-01,1961,3,1,Spring,Australia-Pacific,Australia,25.83,39.93,53.77,316.63,13.76
1961-04-01,1961,4,2,Spring,Australia-Pacific,Australia,22.29,37.07,56.86,316.12,14.14
1961-05-01,1961,5,2,Spring,Australia-Pacific,Australia,17.58,47.16,59.71,316.62,17.54
1961-06-01,1961,6,2,Summer,Australia-Pacific,Australia,15.2,21.33,53.72,315.92,11.42
1961-07-01,1961,7,3,Summer,Australia-Pacific,Australia,15.33,27.52,55.25,316.71,22.69
1961-08-01,1961,8,3,Summer,Australia-Pacific,Australia,17.22,27.4,64.0,315.72,10.26
1961-09-01,1961,9,3,Autumn,Australia-Pacific,Australia,17.76,40.07,55.84,315.9,14.32
1961-10-01,1961,10,4,Autumn,Australia-Pacific,Australia,19.65,25.15,62.76,316.29,21.81
1961-11-01,1961,11,4,Autumn,Australia-Pacific,Australia,22.71,50.18,56.14,316.7,17.26
1961-12-01,1961,12,4,Winter,Australia-Pacific,Australia,26.26,59.85,49.54,316.64,16.19
1962-01-01,1962,1,1,Winter,Australia-Pacific,Australia,25.39,65.86,59.61,317.51,16.95
1962-02-01,1962,2,1,Winter,Australia-Pacific,Australia,24.5,34.87,53.79,318.02,16.28
1962-03-01,1962,3,1,Spring,Australia-Pacific,Australia,24.89,42.83,53.99,317.58,20.94
1962-04-01,1962,4,2,Spring,Australia-Pacific,Australia,20.95,34.63,52.26,317.48,18.11
1962-05-01,1962,5,2,Spring,Australia-Pacific,Australia,19.0,42.65,54.95,317.92,18.52
1962-06-01,1962,6,2,Summer,Australia-Pacific,Australia,17.99,26.04,53.5,318.0,17.05
1962-07-01,1962,7,3,Summer,Australia-Pacific,Australia,16.45,51.78,50.11,318.31,16.52
1962-08-01,1962,8,3,Summer,Australia-Pacific,Australia,17.73,36.52,58.0,317.64,17.25
1962-09-01,1962,9,3,Autumn,Australia-Pacific,Australia,17.9,31.57,54.08,317.78,13.77
1962-10-01,1962,10,4,Autumn,Australia-Pacific,Australia,20.61,51.63,59.72,317.71,25.69
1962-11-01,1962,11,4,Autumn,Australia-Pacific,Australia,22.95,44.08,47.75,317.54,23.36
1962-12-01,1962,12,4,Winter,Australia-Pacific,Australia,25.26,37.8,59.36,317.86,20.49
1963-01-01,1963,1,1,Winter,Australia-Pacific,Australia,25.76,47.77,54.08,319.27,19.28
1963-02-01,1963,2,1,Winter,Australia-Pacific,Australia,25.84,48.28,57.13,319.05,17.38
1963-03-01,1963,3,1,Spring,Australia-Pacific,Australia,23.94,40.88,58.09,319.4,21.0
1963-04-01,1963,4,2,Spring,Australia-Pacific,Australia,20.46,25.73,51.82,318.73,17.87
1963-05-01,1963,5,2,Spring,Australia-Pacific,Australia,19.8,38.94,52.88,319.29,20.49
1963-06-01,1963,6,2,Summer,Australia-Pacific,Australia,16.93,41.48,51.69,319.07,16.35
1963-07-01,1963,7,3,Summer,Australia-Pacific,Australia,15.34,12.51,50.07,319.08,18.59
1963-08-01,1963,8,3,Summer,Australia-Pacific,Australia,16.53,26.06,63.86,318.6,15.77
1963-09-01,1963,9,3,Autumn,Australia-Pacific,Australia,17.82,30.73,57.57,319.3,22.33
1963-10-01,1963,10,4,Autumn,Australia-Pacific,Australia,20.53,34.03,63.17,317.94,19.69
1963-11-01,1963,11,4,Autumn,Australia-Pacific,Australia,23.72,64.95,46.7,318.88,15.43
1963-12-01,1963,12,4,Winter,Australia-Pacific,Australia,24.2,51.82,59.17,319.53,17.9
1964-01-01,1964,1,1,Winter,Australia-Pacific,Australia,26.5,56.38,57.78,320.86,20.42
1964-02-01,1964,2,1,Winter,Australia-Pacific,Australia,26.37,41.02,58.28,320.81,23.79
1964-03-01,1964,3,1,Spring,Australia-Pacific,Australia,22.96,42.8,56.51,320.58,21.35
1964-04-01,1964,4,2,Spring,Australia-Pacific,Australia,22.77,22.14,53.8,319.72,22.86
1964-05-01,1964,5,2,Spring,Australia-Pacific,Australia,19.53,67.33,60.13,320.53,21.76
1964-06-01,1964,6,2,Summer,Australia-Pacific,Australia,16.73,30.65,56.38,319.61,21.59
1964-07-01,1964,7,3,Summer,Australia-Pacific,Australia,16.18,45.77,54.34,320.09,21.81
1964-08-01,1964,8,3,Summer,Australia-Pacific,Australia,16.81,27.85,48.61,320.34,19.26
1964-09-01,1964,9,3,Autumn,Australia-Pacific,Australia,18.31,39.33,51.63,320.31,22.62
1964-10-01,1964,10,4,Autumn,Australia-Pacific,Australia,20.42,66.17,56.24,319.9,18.48
1964-11-01,1964,11,4,Autumn,Australia-Pacific,Australia,22.71,36.17,57.68,319.96,20.01
1964-12-01,1964,12,4,Winter,Australia-Pacific,Australia,26.42,48.44,58.36,319.73,19.89
1965-01-01,1965,1,1,Winter,Australia-Pacific,Australia,25.35,61.72,49.83,322.58,17.58
1965-02-01,1965,2,1,Winter,Australia-Pacific,Australia,26.43,63.44,56.55,321.77,28.06
1965-03-01,1965,3,1,Spring,Australia-Pacific,Australia,25.71,42.77,55.79,321.53,18.99
1965-04-01,1965,4,2,Spring,Australia-Pacific,Australia,22.06,38.68,46.95,321.93,23.35
1965-05-01,1965,5,2,Spring,Australia-Pacific,Australia,18.68,24.33,57.12,322.39,23.7
1965-06-01,1965,6,2,Summer,Australia-Pacific,Australia,17.57,20.3,52.93,321.99,18.42
1965-07-01,1965,7,3,Summer,Australia-Pacific,Australia,16.28,32.3,54.81,321.88,22.67
1965-08-01,1965,8,3,Summer,Australia-Pacific,Australia,16.3,16.59,54.55,322.27,25.57
1965-09-01,1965,9,3,Autumn,Australia-Pacific,Australia,18.23,27.56,52.8,321.57,23.36
1965-10-01,1965,10,4,Autumn,Australia-Pacific,Australia,21.43,62.58,50.85,322.01,24.13
1965-11-01,1965,11,4,Autumn,Australia-Pacific,Australia,23.18,33.97,56.38,322.6,23.31
1965-12-01,1965,12,4,Winter,Australia-Pacific,Australia,24.99,52.31,49.3,321.76,24.55
1966-01-01,1966,1,1,Winter,Australia-Pacific,Australia,25.5,23.34,56.38,322.9,21.75
1966-02-01,1966,2,1,Winter,Australia-Pacific,Australia,25.02,58.32,52.96,323.47,26.86
1966-03-01,1966,3,1,Spring,Australia-Pacific,Australia,23.67,39.37,55.64,323.04,18.74
1966-04-01,1966,4,2,Spring,Australia-Pacific,Australia,23.16,43.71,52.68,322.33,23.46
1966-05-01,1966,5,2,Spring,Australia-Pacific,Australia,18.7,30.85,44.18,322.91,22.77
1966-06-01,1966,6,2,Summer,Australia-Pacific,Australia,16.85,26.7,55.26,323.71,22.45
1966-07-01,1966,7,3,Summer,Australia-Pacific,Australia,15.45,8.34,52.44,322.54,26.88
1966-08-01,1966,8,3,Summer,Australia-Pacific,Australia,16.71,39.4,62.33,322.75,22.96
1966-09-01,1966,9,3,Autumn,Australia-Pacific,Australia,19.5,33.54,57.61,323.51,26.69
1966-10-01,1966,10,4,Autumn,Australia-Pacific,Australia,20.96,53.33,54.66,323.31,23.47
1966-11-01,1966,11,4,Autumn,Australia-Pacific,Australia,24.21,37.43,46.59,323.36,20.94
1966-12-01,1966,12,4,Winter,Australia-Pacific,Australia,24.75,67.66,59.83,322.96,14.86
1967-01-01,1967,1,1,Winter,Australia-Pacific,Australia,26.44,65.69,57.58,324.64,24.96
1967-02-01,1967,2,1,Winter,Australia-Pacific,Australia,25.3,42.0,51.51,324.58,26.51
1967-03-01,1967,3,1,Spring,Australia-Pacific,Australia,24.48,29.74,46.7,324.3,22.44
1967-04-01,1967,4,2,Spring,Australia-Pacific,Australia,21.88,21.79,60.9,324.12,30.28
1967-05-01,1967,5,2,Spring,Australia-Pacific,Australia,19.55,20.05,65.47,324.56,26.0
1967-06-01,1967,6,2,Summer,Australia-Pacific,Australia,16.96,34.31,57.63,324.1,24.86
1967-07-01,1967,7,3,Summer,Australia-Pacific,Australia,16.23,33.32,58.0,324.52,23.85
1967-08-01,1967,8,3,Summer,Australia-Pacific,Australia,16.34,16.32,57.96,324.2,24.92
1967-09-01,1967,9,3,Autumn,Australia-Pacific,Australia,18.69,31.54,54.97,324.09,26.31
1967-10-01,1967,10,4,Autumn,Australia-Pacific,Australia,20.43,37.31,60.79,324.65,23.79
1967-11-01,1967,11,4,Autumn,Australia-Pacific,Australia,23.35,62.35,53.46,324.47,27.49
1967-12-01,1967,12,4,Winter,Australia-Pacific,Australia,25.77,49.95,51.28,324.45,27.47
1968-01-01,1968,1,1,Winter,Australia-Pacific,Australia,27.04,42.53,63.81,325.68,29.77
1968-02-01,1968,2,1,Winter,Australia-Pacific,Australia,25.07,36.44,48.44,325.67,28.57
1968-03-01,1968,3,1,Spring,Australia-Pacific,Australia,23.93,42.27,60.59,325.8,27.84
1968-04-01,1968,4,2,Spring,Australia-Pacific,Australia,24.09,35.91,51.52,325.99,29.2
1968-05-01,1968,5,2,Spring,Australia-Pacific,Australia,19.4,33.21,62.41,326.34,26.65
1968-06-01,1968,6,2,Summer,Australia-Pacific,Australia,16.54,33.93,51.75,326.15,28.27
1968-07-01,1968,7,3,Summer,Australia-Pacific,Australia,18.16,43.06,49.61,325.59,21.26
1968-08-01,1968,8,3,Summer,Australia-Pacific,Australia,15.2,30.49,49.04,326.46,30.47
1968-09-01,1968,9,3,Autumn,Australia-Pacific,Australia,18.32,27.92,62.43,326.49,24.2
1968-10-01,1968,10,4,Autumn,Australia-Pacific,Australia,19.88,34.97,57.16,325.59,28.36
1968-11-01,1968,11,4,Autumn,Australia-Pacific,Australia,24.93,29.67,52.77,325.25,24.49
1968-12-01,1968,12,4,Winter,Australia-Pacific,Australia,25.4,46.07,57.6,325.86,27.9
1969-01-01,1969,1,1,Winter,Australia-Pacific,Australia,25.84,56.15,53.25,327.05,29.76
1969-02-01,1969,2,1,Winter,Australia-Pacific,Australia,24.19,57.15,50.66,327.01,23.82
1969-03-01,1969,3,1,Spring,Australia-Pacific,Australia,23.65,48.04,57.29,326.68,29.73
1969-04-01,1969,4,2,Spring,Australia-Pacific,Australia,22.62,30.59,55.0,326.32,25.81
1969-05-01,1969,5,2,Spring,Australia-Pacific,Australia,19.39,41.96,52.0,328.22,29.44
1969-06-01,1969,6,2,Summer,Australia-Pacific,Australia,16.08,43.34,48.74,327.28,25.71
1969-07-01,1969,7,3,Summer,Australia-Pacific,Australia,15.16,37.54,53.7,327.84,25.45
1969-08-01,1969,8,3,Summer,Australia-Pacific,Australia,15.65,24.0,69.45,327.48,30.16
1969-09-01,1969,9,3,Autumn,Australia-Pacific,Australia,18.98,26.19,68.65,327.33,29.59
1969-10-01,1969,10,4,Autumn,Australia-Pacific,Australia,21.43,24.31,50.6,327.05,31.47
1969-11-01,1969,11,4,Autumn,Australia-Pacific,Australia,22.51,44.26,53.96,326.52,26.97
1969-12-01,1969,12,4,Winter,Australia-Pacific,Australia,26.04,37.76,62.06,327.34,29.54
1970-01-01,1970,1,1,Winter,Australia-Pacific,Australia,26.09,46.48,51.75,328.64,28.05
1970-02-01,1970,2,1,Winter,Australia-Pacific,Australia,25.79,44.11,57.26,328.71,25.12
1970-03-01,1970,3,1,Spring,Australia-Pacific,Australia,23.98,28.26,45.69,328.26,38.39
1970-04-01,1970,4,2,Spring,Australia-Pacific,Australia,22.36,51.31,58.04,328.58,32.69
1970-05-01,1970,5,2,Spring,Australia-Pacific,Australia,18.72,36.68,60.89,328.78,33.73
1970-06-01,1970,6,2,Summer,Australia-Pacific,Australia,17.19,47.86,53.96,329.35,31.72
1970-07-01,1970,7,3,Summer,Australia-Pacific,Australia,15.9,14.03,50.96,328.12,29.73
1970-08-01,1970,8,3,Summer,Australia-Pacific,Australia,15.88,43.47,55.55,328.53,26.5
1970-09-01,1970,9,3,Autumn,Australia-Pacific,Australia,17.98,7.08,63.09,327.93,25.97
1970-10-01,1970,10,4,Autumn,Australia-Pacific,Australia,21.76,42.51,55.6,328.64,32.86
1970-11-01,1970,11,4,Autumn,Australia-Pacific,Australia,23.57,28.02,58.67,328.67,33.51
1970-12-01,1970,12,4,Winter,Australia-Pacific,Australia,24.71,45.98,56.96,328.12,22.94
1971-01-01,1971,1,1,Winter,Australia-Pacific,Australia,26.24,68.39,54.36,330.07,32.71
1971-02-01,1971,2,1,Winter,Australia-Pacific,Australia,25.67,55.5,61.75,329.46,33.82
1971-03-01,1971,3,1,Spring,Australia-Pacific,Australia,23.06,36.22,60.98,329.37,30.78
1971-04-01,1971,4,2,Spring,Australia-Pacific,Australia,23.57,47.33,51.31,329.62,30.99
1971-05-01,1971,5,2,Spring,Australia-Pacific,Australia,20.2,20.43,49.69,330.14,26.46
1971-06-01,1971,6,2,Summer,Australia-Pacific,Australia,16.38,28.31,54.83,329.3,32.56
1971-07-01,1971,7,3,Summer,Australia-Pacific,Australia,16.62,19.68,63.3,329.99,28.49
1971-08-01,1971,8,3,Summer,Australia-Pacific,Australia,18.06,23.47,55.89,329.66,33.37
1971-09-01,1971,9,3,Autumn,Australia-Pacific,Australia,18.21,26.85,54.2,329.65,34.72
1971-10-01,1971,10,4,Autumn,Australia-Pacific,Australia,19.78,37.84,55.45,329.8,34.4
1971-11-01,1971,11,4,Autumn,Australia-Pacific,Australia,22.39,51.28,48.78,329.65,27.46
1971-12-01,1971,12,4,Winter,Australia-Pacific,Australia,25.41,47.61,63.19,329.95,32.82
1972-01-01,1972,1,1,Winter,Australia-Pacific,Australia,25.28,66.71,63.19,331.55,29.06
1972-02-01,1972,2,1,Winter,Australia-Pacific,Australia,25.33,55.2,52.11,332.21,31.55
1972-03-01,1972,3,1,Spring,Australia-Pacific,Australia,23.93,38.34,56.16,331.75,33.34
1972-04-01,1972,4,2,Spring,Australia-Pacific,Australia,21.64,24.08,61.04,331.14,32.44
1972-05-01,1972,5,2,Spring,Australia-Pacific,Australia,17.47,30.09,52.99,330.47,35.97
1972-06-01,1972,6,2,Summer,Australia-Pacific,Australia,16.68,50.29,62.07,330.91,37.11
1972-07-01,1972,7,3,Summer,Australia-Pacific,Australia,17.43,20.79,49.84,330.34,34.14
